yourlist:M20190701216DA2B77BFBD2E6699CA9B6D1C41EB22597F0Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (synonym )
Q6ZWH5	Q6ZWH5	NEK10_HUMAN	reviewed	Serine/threonine-protein kinase Nek10 (EC 2.7.11.1) (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)	NEK10	Homo sapiens (Human)	NEK10	
Q9UF33	Q9UF33	EPHA6_HUMAN	reviewed	Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)	EPHA6 EHK2 HEK12	Homo sapiens (Human)	EPHA6	EHK2 HEK12
Q9HCP0	Q9HCP0	KC1G1_HUMAN	reviewed	Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	CSNK1G1	Homo sapiens (Human)	CSNK1G1	
Q9H792	Q9H792	PEAK1_HUMAN	reviewed	Inactive tyrosine-protein kinase PEAK1 (Pseudopodium-enriched atypical kinase 1) (Sugen kinase 269) (Tyrosine-protein kinase SgK269)	PEAK1 KIAA2002	Homo sapiens (Human)	PEAK1	KIAA2002
Q52WX2	Q52WX2	SBK1_HUMAN	reviewed	Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3-binding kinase 1)	SBK1	Homo sapiens (Human)	SBK1	
Q9BXU1	Q9BXU1	STK31_HUMAN	reviewed	Serine/threonine-protein kinase 31 (EC 2.7.11.1) (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)	STK31 SGK396	Homo sapiens (Human)	STK31	SGK396
Q8NFD2	Q8NFD2	ANKK1_HUMAN	reviewed	Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase)	ANKK1 PKK2 SGK288	Homo sapiens (Human)	ANKK1	PKK2 SGK288
Q8TAS1	Q8TAS1	UHMK1_HUMAN	reviewed	Serine/threonine-protein kinase Kist (EC 2.7.11.1) (Kinase interacting with stathmin) (PAM COOH-terminal interactor protein 2) (P-CIP2) (U2AF homology motif kinase 1)	UHMK1 KIS KIST	Homo sapiens (Human)	UHMK1	KIS KIST
Q6P2M8	Q6P2M8	KCC1B_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1B (EC 2.7.11.17) (CaM kinase I beta) (CaM kinase IB) (CaM-KI beta) (CaMKI-beta) (Pregnancy up-regulated non-ubiquitously-expressed CaM kinase)	PNCK	Homo sapiens (Human)	PNCK	
Q8TEA7	Q8TEA7	TBCK_HUMAN	reviewed	TBC domain-containing protein kinase-like protein	TBCK TBCKL HSPC302	Homo sapiens (Human)	TBCK	TBCKL
Q96Q15	Q96Q15	SMG1_HUMAN	reviewed	Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (61E3.4) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein)	SMG1 ATX KIAA0421 LIP	Homo sapiens (Human)	SMG1	ATX KIAA0421 LIP
Q9H1R3	Q9H1R3	MYLK2_HUMAN	reviewed	Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)	MYLK2	Homo sapiens (Human)	MYLK2	
Q6ZN16	Q6ZN16	M3K15_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 15 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 3) (MAPK/ERK kinase kinase 15) (MEK kinase 15) (MEKK 15)	MAP3K15 ASK3	Homo sapiens (Human)	MAP3K15	ASK3
Q5S007	Q5S007	LRRK2_HUMAN	reviewed	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	LRRK2 PARK8	Homo sapiens (Human)	LRRK2	PARK8
Q5TCX8	Q5TCX8	M3K21_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)	MAP3K21 KIAA1804 MLK4	Homo sapiens (Human)	MAP3K21	KIAA1804 MLK4
Q8TF76	Q8TF76	HASP_HUMAN	reviewed	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)	HASPIN GSG2	Homo sapiens (Human)	HASPIN	GSG2
Q96RU7	Q96RU7	TRIB3_HUMAN	reviewed	Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B)	TRIB3 C20orf97 NIPK SKIP3 TRB3	Homo sapiens (Human)	TRIB3	C20orf97 NIPK SKIP3 TRB3
O14578	O14578	CTRO_HUMAN	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	CIT	CRIK KIAA0949 STK21
Q8N5S9	Q8N5S9	KKCC1_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)	CAMKK1 CAMKKA	Homo sapiens (Human)	CAMKK1	CAMKKA
Q38SD2	Q38SD2	LRRK1_HUMAN	reviewed	Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1)	LRRK1 KIAA1790	Homo sapiens (Human)	LRRK1	KIAA1790
Q8IWB6	Q8IWB6	TEX14_HUMAN	reviewed	Inactive serine/threonine-protein kinase TEX14 (Protein kinase-like protein SgK307) (Sugen kinase 307) (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein)	TEX14 SGK307	Homo sapiens (Human)	TEX14	SGK307
O15021	O15021	MAST4_HUMAN	reviewed	Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1)	MAST4 KIAA0303	Homo sapiens (Human)	MAST4	KIAA0303
Q13557	Q13557	KCC2D_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	CAMK2D CAMKD	Homo sapiens (Human)	CAMK2D	CAMKD
Q9NSY1	Q9NSY1	BMP2K_HUMAN	reviewed	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	BMP2K BIKE HRIHFB2017	Homo sapiens (Human)	BMP2K	BIKE
Q9BXA7	Q9BXA7	TSSK1_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	Homo sapiens (Human)	TSSK1B	SPOGA1 SPOGA4 STK22A STK22D TSSK1
Q86YV6	Q86YV6	MYLK4_HUMAN	reviewed	Myosin light chain kinase family member 4 (EC 2.7.11.1) (Sugen kinase 85) (SgK085)	MYLK4 SGK085	Homo sapiens (Human)	MYLK4	SGK085
Q7Z695	Q7Z695	ADCK2_HUMAN	reviewed	Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-)	ADCK2 AARF	Homo sapiens (Human)	ADCK2	AARF
O43293	O43293	DAPK3_HUMAN	reviewed	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	DAPK3 ZIPK	Homo sapiens (Human)	DAPK3	ZIPK
P0C1S8	P0C1S8	WEE2_HUMAN	reviewed	Wee1-like protein kinase 2 (EC 2.7.10.2) (Wee1-like protein kinase 1B) (Wee1B kinase)	WEE2 WEE1B	Homo sapiens (Human)	WEE2	WEE1B
Q05823	Q05823	RN5A_HUMAN	reviewed	2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L)	RNASEL RNS4	Homo sapiens (Human)	RNASEL	RNS4
Q9BX84	Q9BX84	TRPM6_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6)	TRPM6 CHAK2	Homo sapiens (Human)	TRPM6	CHAK2
Q9BVS4	Q9BVS4	RIOK2_HUMAN	reviewed	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2)	RIOK2 RIO2	Homo sapiens (Human)	RIOK2	RIO2
Q86TB3	Q86TB3	ALPK2_HUMAN	reviewed	Alpha-protein kinase 2 (EC 2.7.11.-) (Heart alpha-protein kinase)	ALPK2 HAK	Homo sapiens (Human)	ALPK2	HAK
Q96QP1	Q96QP1	ALPK1_HUMAN	reviewed	Alpha-protein kinase 1 (EC 2.7.11.1) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase)	ALPK1 KIAA1527 LAK	Homo sapiens (Human)	ALPK1	KIAA1527 LAK
P25440	P25440	BRD2_HUMAN	reviewed	Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein)	BRD2 KIAA9001 RING3	Homo sapiens (Human)	BRD2	KIAA9001 RING3
Q15059	Q15059	BRD3_HUMAN	reviewed	Bromodomain-containing protein 3 (RING3-like protein)	BRD3 KIAA0043 RING3L	Homo sapiens (Human)	BRD3	KIAA0043 RING3L
O60885	O60885	BRD4_HUMAN	reviewed	Bromodomain-containing protein 4 (Protein HUNK1)	BRD4 HUNK1	Homo sapiens (Human)	BRD4	HUNK1
Q58F21	Q58F21	BRDT_HUMAN	reviewed	Bromodomain testis-specific protein (Cancer/testis antigen 9) (CT9) (RING3-like protein)	BRDT	Homo sapiens (Human)	BRDT	
Q96L96	Q96L96	ALPK3_HUMAN	reviewed	Alpha-protein kinase 3 (EC 2.7.11.1) (Muscle alpha-protein kinase)	ALPK3 KIAA1330 MAK	Homo sapiens (Human)	ALPK3	KIAA1330 MAK
Q3MIX3	Q3MIX3	ADCK5_HUMAN	reviewed	Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-)	ADCK5	Homo sapiens (Human)	ADCK5	
O15164	O15164	TIF1A_HUMAN	reviewed	Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	TRIM24 RNF82 TIF1 TIF1A	Homo sapiens (Human)	TRIM24	RNF82 TIF1 TIF1A
Q13263	Q13263	TIF1B_HUMAN	reviewed	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	TRIM28	KAP1 RNF96 TIF1B
Q9UPN9	Q9UPN9	TRI33_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	TRIM33 KIAA1113 RFG7 TIF1G	Homo sapiens (Human)	TRIM33	KIAA1113 RFG7 TIF1G
Q58A45	Q58A45	PAN3_HUMAN	reviewed	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)	PAN3	Homo sapiens (Human)	PAN3	
Q14296	Q14296	FASTK_HUMAN	reviewed	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)	FASTK	Homo sapiens (Human)	FASTK	
P49842	P49842	STK19_HUMAN	reviewed	Serine/threonine-protein kinase 19 (EC 2.7.11.1) (Protein G11) (Protein RP1)	STK19 G11 RP1	Homo sapiens (Human)	STK19	G11 RP1
P21675	P21675	TAF1_HUMAN	reviewed	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)	TAF1 BA2R CCG1 CCGS TAF2A	Homo sapiens (Human)	TAF1	BA2R CCG1 CCGS TAF2A
Q8IZX4	Q8IZX4	TAF1L_HUMAN	reviewed	Transcription initiation factor TFIID subunit 1-like (TAF(II)210) (TBP-associated factor 1-like) (TBP-associated factor 210 kDa) (Transcription initiation factor TFIID 210 kDa subunit)	TAF1L	Homo sapiens (Human)	TAF1L	
P11274	P11274	BCR_HUMAN	reviewed	Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)	BCR BCR1 D22S11	Homo sapiens (Human)	BCR	BCR1 D22S11
Q12979	Q12979	ABR_HUMAN	reviewed	Active breakpoint cluster region-related protein	ABR	Homo sapiens (Human)	ABR	
B5MCJ9	B5MCJ9	B5MCJ9_HUMAN	unreviewed	Tripartite motif-containing protein 66	TRIM66	Homo sapiens (Human)	TRIM66	
Q6IBK5	Q6IBK5	Q6IBK5_HUMAN	unreviewed	GTF2F1 protein	GTF2F1	Homo sapiens (Human)	GTF2F1	
Q9Y5P4	Q9Y5P4	C43BP_HUMAN	reviewed	Collagen type IV alpha-3-binding protein (Ceramide transfer protein) (hCERT) (Goodpasture antigen-binding protein) (GPBP) (START domain-containing protein 11) (StARD11) (StAR-related lipid transfer protein 11)	COL4A3BP CERT STARD11	Homo sapiens (Human)	COL4A3BP	CERT STARD11
P53004	P53004	BIEA_HUMAN	reviewed	Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase)	BLVRA BLVR BVR	Homo sapiens (Human)	BLVRA	BLVR BVR
Q9NRL2	Q9NRL2	BAZ1A_HUMAN	reviewed	Bromodomain adjacent to zinc finger domain protein 1A (ATP-dependent chromatin-remodeling protein) (ATP-utilizing chromatin assembly and remodeling factor 1) (hACF1) (CHRAC subunit ACF1) (Williams syndrome transcription factor-related chromatin-remodeling factor 180) (WCRF180) (hWALp1)	BAZ1A ACF1 WCRF180 HSPC317	Homo sapiens (Human)	BAZ1A	ACF1 WCRF180
Q9UIG0	Q9UIG0	BAZ1B_HUMAN	reviewed	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)	BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF	Homo sapiens (Human)	BAZ1B	WBSC10 WBSCR10 WBSCR9 WSTF
Q9UQ88	Q9UQ88	CD11A_HUMAN	reviewed	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)	CDK11A CDC2L2 CDC2L3 PITSLREB	Homo sapiens (Human)	CDK11A	CDC2L2 CDC2L3 PITSLREB
P62344	P62344	CDPK1_PLAF7	reviewed	Calcium-dependent protein kinase 1 (EC 2.7.11.1)	CPK1 CDPK1 PFB0815w	Plasmodium falciparum (isolate 3D7)	CPK1	CDPK1
P61075	P61075	CDC2H_PLAF7	reviewed	Cell division control protein 2 homolog (EC 2.7.11.22) (EC 2.7.11.23)	CRK2 PK5 MAL13P1.279	Plasmodium falciparum (isolate 3D7)	CRK2	PK5
O00750	O00750	P3C2B_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PIK3C2B	Homo sapiens (Human)	PIK3C2B	
O75747	O75747	P3C2G_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma (PI3K-C2-gamma) (PtdIns-3-kinase C2 subunit gamma) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-gamma)	PIK3C2G	Homo sapiens (Human)	PIK3C2G	
P42336	P42336	PK3CA_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PIK3CA	Homo sapiens (Human)	PIK3CA	
P42338	P42338	PK3CB_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)	PIK3CB PIK3C1	Homo sapiens (Human)	PIK3CB	PIK3C1
O00329	O00329	PK3CD_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PIK3CD	Homo sapiens (Human)	PIK3CD	
P48736	P48736	PK3CG_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	PIK3CG	Homo sapiens (Human)	PIK3CG	
Q9UBF8	Q9UBF8	PI4KB_HUMAN	reviewed	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92)	PI4KB PIK4CB	Homo sapiens (Human)	PI4KB	PIK4CB
Q99755	Q99755	PI51A_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase alpha) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha)	PIP5K1A	Homo sapiens (Human)	PIP5K1A	
O60331	O60331	PI51C_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma)	PIP5K1C KIAA0589	Homo sapiens (Human)	PIP5K1C	KIAA0589
P78356	P78356	PI42B_HUMAN	reviewed	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta)	PIP4K2B PIP5K2B	Homo sapiens (Human)	PIP4K2B	PIP5K2B
Q8TBX8	Q8TBX8	PI42C_HUMAN	reviewed	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma)	PIP4K2C PIP5K2C	Homo sapiens (Human)	PIP4K2C	PIP5K2C
P0A5S4	P9WI81	PKNB_MYCTU	reviewed	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	pknB Rv0014c MTCY10H4.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	pknB	
P0A5S4	P9WI80	PKNB_MYCTO	reviewed	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	pknB MT0017	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	pknB	
